term,label,confidence
quality,not specific,0.6582
management,not specific,0.6667
bears,not specific,1
system,not specific,0.5165
increasing clouds,not specific,0.3375
get keep,not specific,0.64
hit next,not specific,1
new report,not specific,1
need,not specific,1
assurances,not specific,1
linked,not specific,0.6769
skeptics,not specific,1
methane burned,not specific,0.3364
rise world,not specific,1
deny,not specific,1
consequences,not specific,0.6663
face,not specific,1
fact,not specific,0.6667
new study,not specific,0.685
bring,not specific,1
debate,not specific,1
rating gas,not specific,0.3364
pause,not specific,1
sparks,not specific,1
local,not specific,0.6704
move,not specific,1
weather olympian,not specific,0.641
overall,not specific,0.6667
vigilancia,not specific,0.649
national,not specific,1
nuclear,not specific,1
state,not specific,1
unravel,not specific,1
well water,not specific,0.6585
traders facing,not specific,1
science tech,not specific,0.6663
admin,not specific,1
harvesting goes,not specific,0.6636
palmoil,not specific,0.6543
change week,not specific,0.6455
thinkprogress,not specific,1
native eucalyptus,not specific,1
bbc,not specific,0.67
waste,not specific,0.3743
new global,not specific,0.6547
replace humans,not specific,1
using google,not specific,1
next week,not specific,1
goes hydraulic,not specific,0.6533
layer,not specific,0.6503
computers replace,not specific,1
draining,not specific,0.6503
vs,not specific,0.6582
clouds little,not specific,1
eucalyptus species,not specific,0.706
largest,not specific,1
fanatics,not specific,0.649
electricidad,not specific,0.649
effect,not specific,1
pollution rules,not specific,0.3364
lobby,not specific,1
weapon,not specific,1
thought via,not specific,1
thought,not specific,0.7029
patterns,not specific,0.6784
change palm,not specific,1
cuts scientists,not specific,0.6547
fracking protect,not specific,0.673
reefs,not specific,0.65
appeared,not specific,1
trading water,not specific,0.6488
thrice global,not specific,0.5242
tests,not specific,1
password,not specific,1
une extinction,not specific,0.6488
loss,not specific,0.64
vortex,not specific,0.6601
need curb,not specific,1
growth,not specific,1
transport,not specific,1
lead,not specific,1
leader,not specific,1
offset,not specific,0.342
panel,not specific,0.7561
surge,not specific,0.6655
emperor,not specific,1
change impacts,not specific,0.6667
negate,not specific,1
termine,not specific,0.6649
north,not specific,1
ipcc,not specific,0.3593
agrees,not specific,1
sixth extinction,not specific,0.6675
ha,not specific,0.6636
polar bears,not specific,1
slow sea,not specific,1
limit,not specific,0.7271
finds via,not specific,0.6625
speeds methane,not specific,0.3462
would worsen,not specific,0.6547
boom,not specific,1
pumps,not specific,0.7773
millones,not specific,0.649
blogger says,not specific,1
benefit likely,not specific,0.6872
purchasing kellogg,not specific,1
beca,non-english/not readable,0.6729
por ola,non-english/not readable,0.6729
negativa,non-english/not readable,1
hoy,non-english/not readable,1
las,non-english/not readable,1
extinction des,non-english/not readable,0.6729
hasta,non-english/not readable,0.6564
evbuomwan,non-english/not readable,1
disponibilidad agua,non-english/not readable,0.6687
natural cuando,non-english/not readable,1
tcot,non-english/not readable,0.6729
consejo gas,non-english/not readable,1
riesgo,non-english/not readable,0.6687
agua potable,non-english/not readable,0.6687
forecast paz,non-english/not readable,0.68
este,non-english/not readable,1
esta,non-english/not readable,0.6687
efecto,non-english/not readable,0.6883
felipe deja,non-english/not readable,0.6554
porque muy,non-english/not readable,0.6687
retira,non-english/not readable,1
cerca,non-english/not readable,1
fitch retira,non-english/not readable,0.72
muy,non-english/not readable,1
ahora,non-english/not readable,1
una,non-english/not readable,0.5239
felipe gas,non-english/not readable,0.66
une,non-english/not readable,0.6729
agencia creditic,non-english/not readable,0.6687
frc,non-english/not readable,0.7652
gobierno,non-english/not readable,0.6729
riesgo disponibilidad,non-english/not readable,0.6729
epa,non-english/not readable,0.3601
ola,non-english/not readable,1
deniers,non-english/not readable,0.6489
muy aburrido,non-english/not readable,1
aburrimiento,non-english/not readable,0.6653
natural para,non-english/not readable,0.6809
pero,non-english/not readable,1
nueva,non-english/not readable,1
salido muy,non-english/not readable,1
cuanto,non-english/not readable,0.5507
ghg,non-english/not readable,0.6809
del gas,non-english/not readable,0.6992
extraer gas,non-english/not readable,0.3604
vigilancia negativa,non-english/not readable,0.6875
salido,non-english/not readable,1
global ghg,non-english/not readable,0.3484
natural fenosa,non-english/not readable,0.6835
como,non-english/not readable,1
por,non-english/not readable,1
licuado,non-english/not readable,1
cuando termine,non-english/not readable,1
auspol,non-english/not readable,0.6805
natural salido,non-english/not readable,1
cuando,non-english/not readable,0.693
natural alcanza,non-english/not readable,0.6805
natgas,non-english/not readable,0.3462
srm,non-english/not readable,1
gigantes,non-english/not readable,1
los,non-english/not readable,1
las gasolinas,non-english/not readable,0.6933
natural por,non-english/not readable,0.641
average fact,non-english/not readable,0.3594
sus,non-english/not readable,0.6663
precios,non-english/not readable,0.6627
impulsa,non-english/not readable,1
des,non-english/not readable,1
csg,non-english/not readable,1
alcanza nivel,non-english/not readable,1
paz,non-english/not readable,0.6809
paz reuters,non-english/not readable,1
natural muy,non-english/not readable,0.6875
para,non-english/not readable,0.6588
aire gas,non-english/not readable,0.2812
portio,non-english/not readable,1
fenosa agencia,non-english/not readable,1
porque,non-english/not readable,0.6407
natural licuado,non-english/not readable,0.3604
despite epa,non-english/not readable,0.68
convierte,non-english/not readable,1
juego,non-english/not readable,0.6749
nivel por,non-english/not readable,0.6667
consejero,non-english/not readable,1
extinction masse,non-english/not readable,0.36
pa,non-english/not readable,1
retira vigilancia,non-english/not readable,1
fenosa,non-english/not readable,1
entre,non-english/not readable,0.6729
las ghg,non-english/not readable,0.6663
demanda,non-english/not readable,0.679
creditic,non-english/not readable,1
un,non-english/not readable,0.68
cdnpoli,non-english/not readable,0.6659
agua,non-english/not readable,1
disponibilidad,non-english/not readable,0.3418
consejo,non-english/not readable,1
presidente,non-english/not readable,0.68
uso,non-english/not readable,0.6875
expresidente,non-english/not readable,0.503
actonclimate,non-english/not readable,0.693
mandato,non-english/not readable,0.6667
que,non-english/not readable,1
qui,non-english/not readable,0.6875
demanda gas,non-english/not readable,0.6589
natural porque,non-english/not readable,1
gasolinas,non-english/not readable,1
felipe,non-english/not readable,0.6406
luz,non-english/not readable,0.6933
epa assurances,non-english/not readable,0.6707
tiene,non-english/not readable,0.6875
extraer,non-english/not readable,0.6732
tico,non-english/not readable,0.6751
deja consejo,non-english/not readable,0.6753
epa gave,non-english/not readable,0.665
extinction voix,non-english/not readable,1
termine mandato,non-english/not readable,0.6373
por gas,non-english/not readable,0.6809
